generation,generation_best_train_mse,global_best_train_mse,mean_train_mse,validation_mse,train_validation_gap,population_diversity,gene_mean,gene_std,near_weight_boundaries_percentage,wall_seconds,cpu_seconds
11,0.2482129064525346,0.2482129064525346,0.407472184680385,0.25069436344515383,0.00248145699261923,3.0198947957619486,-0.01077636151789431,3.2674152547172626,24.40214388330202,19.273498039000515,208.840923363
12,0.2482129064525346,0.2482129064525346,0.3864038366139684,0.25069436344515383,0.00248145699261923,3.031063523883328,-0.015144588063860261,3.287611342796608,25.040335948723612,19.764798426000198,208.92770866799992
13,0.2459257091454389,0.2459257091454389,0.3970019999708589,0.24683047405601044,0.0009047649105715372,2.997530558304765,-0.011245855835487257,3.3014420168609306,25.50978008619737,19.44774554000014,208.35153592200004
14,0.2459257091454389,0.2459257091454389,0.386938333187548,0.24683047405601044,0.0009047649105715372,2.886808387238958,-0.009845730910975754,3.312651964040145,25.686926732235605,19.124928365000414,207.70666568100023
15,0.2459257091454389,0.2459257091454389,0.39140476647830164,0.24683047405601044,0.0009047649105715372,2.796947404675138,-0.00698114826329436,3.318586323977634,25.764393855674662,19.372158711999873,207.65014588600025
16,0.2459257091454389,0.2459257091454389,0.40090347145580807,0.24683047405601044,0.0009047649105715372,2.838267889127728,-0.004535296581500452,3.3341238851969464,26.17758868383247,19.364598236000347,208.11541697600023
17,0.2459257091454389,0.2459257091454389,0.3854738194010733,0.24683047405601044,0.0009047649105715372,2.766424069745621,-0.004820010517464021,3.3422127915473565,26.26853795999558,20.182902259000002,209.24757627999952
18,0.2459257091454389,0.2459257091454389,0.400454097573786,0.24683047405601044,0.0009047649105715372,2.7515615889310387,-0.008495393165993296,3.3466395686362995,26.262017902530665,19.743441648000044,209.12773534899952
19,0.2459257091454389,0.2459257091454389,0.4012563335762957,0.24683047405601044,0.0009047649105715372,2.623097852459315,-0.003550755648077412,3.3514481496831094,26.24754116476959,19.778901613000016,208.2668488700001
20,0.2459257091454389,0.2459257091454389,0.40386903735677754,0.24683047405601044,0.0009047649105715372,2.503539586631363,0.0004190536098279654,3.3617314967001044,26.346889159023096,19.249898666000263,208.1816742129995
21,0.2459257091454389,0.2459257091454389,0.39474120761478504,0.24683047405601044,0.0009047649105715372,2.395346301065203,0.004549768344551173,3.3665399013965045,26.325781854348545,19.26887258500028,208.70091403200058
22,0.2459257091454389,0.2459257091454389,0.3980718156077478,0.24683047405601044,0.0009047649105715372,2.4803974174802006,0.005700789551538949,3.381204276379794,26.632445574096586,19.65955961399959,208.58260808100022
23,0.2459257091454389,0.2459257091454389,0.3924208263066243,0.24683047405601044,0.0009047649105715372,2.3972376816708243,0.01252516575307079,3.3781438025624313,26.578516963200354,19.35318452899992,208.49474231899967
24,0.2459257091454389,0.2459257091454389,0.40414042631741637,0.24683047405601044,0.0009047649105715372,2.412920742517298,0.010523444760882324,3.383876248320996,26.650127085865844,19.288538739000614,208.73505400999966
25,0.2459257091454389,0.2459257091454389,0.40109243696528935,0.24683047405601044,0.0009047649105715372,2.5834430174420606,0.012711944092109888,3.3970011668068354,26.976571996905736,19.698069000999567,208.1390014159997
26,0.2459257091454389,0.2459257091454389,0.38156639977491674,0.24683047405601044,0.0009047649105715372,2.6114443620086587,0.010824840741790779,3.401889004765005,27.142778207536743,19.259246163999705,208.1834038349998
27,0.2459257091454389,0.2459257091454389,0.40583024773260656,0.24683047405601044,0.0009047649105715372,2.5904780219702106,0.013252159712084858,3.4065429794540285,27.2357166537739,20.01639615699969,208.95756057000017
28,0.2459257091454389,0.2459257091454389,0.40474420341484524,0.24683047405601044,0.0009047649105715372,2.607981599222562,0.013165672145388215,3.4074268403295984,27.24997237263786,19.175565217999974,206.9038860870005
29,0.2459257091454389,0.2459257091454389,0.38981419650851623,0.24683047405601044,0.0009047649105715372,2.6715365567212452,0.014888487549413323,3.41437300875875,27.4320919438612,19.63592139499997,208.84066155599976
30,0.2459257091454389,0.2459257091454389,0.3998920379807373,0.24683047405601044,0.0009047649105715372,2.6747384282038307,0.010243148925919775,3.4119056586186223,27.389435296717867,18.976582975999918,208.16276035899955
31,0.2459257091454389,0.2459257091454389,0.3763403477441448,0.24683047405601044,0.0009047649105715372,2.691621730112188,0.003842636550303123,3.421889004481086,27.567134489998896,19.71053376100008,207.88642608400005
32,0.2459257091454389,0.2459257091454389,0.38396976521258913,0.24683047405601044,0.0009047649105715372,2.6938022332004814,0.0034513824805090547,3.420490208827715,27.51851033263344,18.72139060599966,207.60392019499977
33,0.2459257091454389,0.2459257091454389,0.39417922736493927,0.24683047405601044,0.0009047649105715372,2.653186333223388,-0.00108799271567386,3.424735626318359,27.54481158139021,19.326266990000477,208.7700057969996
34,0.2459257091454389,0.2459257091454389,0.3942259032773929,0.24683047405601044,0.0009047649105715372,2.5351363359429313,-0.007779700655664931,3.4205584951379944,27.449331417836227,19.47398238200003,208.28185195200058
