epoca,mse_treino,mse_validacao,gap_treino_validacao,melhoria,epocas_sem_melhoria,tempo_parede_epoca_segundos,tempo_cpu_epoca_segundos,percentual_saturacao_oculta,camada_1_magnitude_media,camada_1_media,camada_1_desvio,camada_1_menor,camada_1_maior,camada_1_delta_magnitude_media,camada_1_delta_magnitude_maxima,camada_2_magnitude_media,camada_2_media,camada_2_desvio,camada_2_menor,camada_2_maior,camada_2_delta_magnitude_media,camada_2_delta_magnitude_maxima
11,0.018738638578373903,0.02080048235562008,0.002061843777246178,0.0013749211862677663,0,0.44376130000455305,0.4375,3.7762537505357905,1.0488565992831618,0.0010871608388319531,1.37280527891073,-5.0298683088109595,3.982764980763282,3.6408925284781616e-05,0.005329374204812332,1.1377255507180595,0.01737519569493571,1.3871885153501313,-2.7399692248937364,2.0002085798093594,4.77305520732787e-05,0.0014814763981694206
12,0.01760652010267194,0.01952171982231494,0.0019151997196430008,0.0011321184757019619,0,0.44158320000133244,0.4375,4.28204029147021,1.0710344356098682,0.0031098660915664976,1.4099421523366906,-5.252399383481348,4.1608006325469615,3.437332337118618e-05,0.005551132180071833,1.1494382484743257,0.01684272882757795,1.4091764320466027,-2.8087535797874397,2.0441979365874823,4.474037255970001e-05,0.0014814708802782146
13,0.016539128654794587,0.018507612879594796,0.001968484224800209,0.0010673914478773541,0,0.4335706999991089,0.421875,4.772110301471639,1.0918322020781723,0.004856037312069867,1.445043129593921,-5.4619654126012795,4.327692760503229,3.2758502334799104e-05,0.0056624159956037865,1.1605859563999952,0.016721079614120858,1.4301161248366188,-2.8728834137618744,2.0857274763614213,4.264414346057738e-05,0.0014814778656711298
14,0.01577050854277847,0.017612230371804424,0.001841721829025953,0.0007686201120161162,0,0.429233299997577,0.4375,5.310758679811402,1.1087033876084984,0.00665528397799668,1.4768960493014398,-5.666930471846837,4.490021660872987,3.123882297016213e-05,0.005720385458072904,1.1709067321270117,0.020563443860738072,1.4490006310928738,-2.9261982729192733,2.1281899855225186,4.062290762672638e-05,0.0014814585101043964
15,0.014870021843213118,0.016807000306418577,0.001936978463205459,0.0009004866995653525,0,0.43937329999607755,0.4375,5.633661951707387,1.126134308494884,0.008094551109707053,1.5081108971450128,-5.85594176881249,4.639617301402199,2.9997328798891662e-05,0.005803483728937548,1.1800161389734318,0.020320545664776632,1.4673250396214403,-2.9830483788147792,2.164042808816662,3.883496168949269e-05,0.0014814699552452334
16,0.014308993611035842,0.0159907599567255,0.0016817663456896587,0.0005610282321772755,0,0.4411056999961147,0.421875,6.149449921417345,1.1430818067464457,0.009491864137706028,1.537781151150129,-6.03530250076367,4.781219615624473,2.8861727091656164e-05,0.0059132482243048545,1.1872259773496838,0.017373883051920516,1.4842367850766947,-3.0401424277729605,2.1943148464132105,3.7160245250057625e-05,0.0014814397342559269
17,0.013737661953902087,0.015311975679434549,0.0015743137255324613,0.000571331657133755,0,0.4472901999979513,0.453125,6.510930132876124,1.1580896491697439,0.010755876950005665,1.5657381205519374,-6.207977472516955,4.917030512234532,2.7710954644293392e-05,0.0061224538821935,1.193756365061679,0.014801172594862426,1.5000848438435412,-3.093876561994894,2.2226804683934005,3.568140653542511e-05,0.0014814811557359632
18,0.013175383608659394,0.014686945693660794,0.0015115620850013993,0.0005622783452426932,0,0.42086099999869475,0.40625,6.970995856550936,1.1715809233816334,0.012023959940685653,1.5922171055852528,-6.376703218660321,5.049017893906816,2.6868264430339293e-05,0.00613403139662088,1.200527589349087,0.014983374989107855,1.5153777853621824,-3.1415398800132026,2.253022804542164,3.468483785189554e-05,0.0014813744855226838
19,0.012704672868468837,0.014171532643098114,0.0014668597746292766,0.00047071074019055734,0,0.4239326999959303,0.421875,7.296756679525647,1.1833029561357804,0.013202880498339477,1.617279845793675,-6.54160999598917,5.177388524216813,2.5973431871983013e-05,0.00625712178841489,1.2070363410098337,0.016397257795073707,1.5299324422054892,-3.185508742838439,2.2832318028373173,3.365418510413184e-05,0.001481364541711915
20,0.012200660236831515,0.013625541547931524,0.0014248813111000097,0.0005040126316373222,0,0.4158765999964089,0.375,7.568224032004572,1.1965235605911808,0.014215936293665346,1.6421083334410511,-6.693941287680379,5.296017596802676,2.5192022869685074e-05,0.006398752840131635,1.211828897434604,0.012676110525933669,1.5438706356634513,-3.234937423649686,2.30606606757974,3.238168230148525e-05,0.0014814516352264903
21,0.011853044286714963,0.013120523908344782,0.001267479621629819,0.0003476159501165522,0,0.4054071999998996,0.40625,7.93970567223889,1.2074843351678377,0.015254598796668635,1.6653417025532198,-6.846432890581868,5.4139967065083825,2.444998438143232e-05,0.006443664513865809,1.2167887801869226,0.012014390102929807,1.5571310053771958,-3.2781411034278554,2.331241935496403,3.154906529019764e-05,0.0014794170807927995
22,0.011344694353616609,0.012728187688339608,0.0013834933347229988,0.0005083499330983537,0,0.4128504999971483,0.390625,8.191170167166737,1.2192349721959408,0.01611683171081808,1.6883707828660033,-6.990096936417415,5.5250349622386254,2.3762134735094847e-05,0.006566637669666739,1.2211190016675952,0.00892003940853829,1.5702526907158203,-3.3240167077428704,2.3528405163494135,3.058172235228389e-05,0.001481470364868714
23,0.011089313410553175,0.012350946647737898,0.001261633237184723,0.00025538094306343413,0,0.4090165000015986,0.359375,8.58979854264895,1.2276796816091893,0.017098386188684943,1.7095456264241347,-7.137781908314191,5.638263709455771,2.3206993285090295e-05,0.006691686563865228,1.2266501303233215,0.012193586501574842,1.5828585053964872,-3.359214865404545,2.381024272809339,3.0102509860895285e-05,0.0014808273882239407
24,0.010693852240269213,0.011957941506342466,0.0012640892660732532,0.000395461170283962,0,0.41074739999749,0.390625,8.75982283183312,1.2387842754449638,0.017916081296816183,1.7309294667132042,-7.274571610344919,5.74316479447789,2.2648654255252823e-05,0.006786072573522516,1.2336903139582647,0.010277226673321599,1.595121017188744,-3.4005845013390084,2.402258638028363,2.919171539217535e-05,0.0014810610982765472
25,0.010427221258907122,0.01154468618771571,0.0011174649288085876,0.0002666309813620909,0,0.408862100004626,0.40625,9.028432633233319,1.2489612884553445,0.018744264494772178,1.7513590021413654,-7.408801721906043,5.845781062452128,2.2105622967721726e-05,0.006903620839835961,1.2408993321620672,0.007760616452310662,1.606760450517246,-3.441368394651745,2.421700005434395,2.8421970415839886e-05,0.0014814703503778837
