geracao,mse_treino,mse_validacao,gap_treino_validacao,melhoria,geracoes_sem_melhoria,diversidade,media_genes,desvio_genes,menor_gene,maior_gene,percentual_limites,tempo_parede_geracao_segundos,tempo_cpu_geracao_segundos
30,0.02114769968309697,0.026075201612720287,0.004927501929623317,0.0011770971741740348,0,2.0115360041227635,-0.10647402461581891,3.557200117934327,-5.0,5.0,31.99099099099099,0.18833079999603797,0.1875
31,0.0172544067445185,0.02089770506923699,0.0036432983247184914,0.0038932929385784715,0,2.0953069740291865,-0.12048090568086718,3.574346141931431,-5.0,5.0,32.81081081081081,0.17278809999697842,0.171875
32,0.0172544067445185,0.02089770506923699,0.0036432983247184914,0.0,1,2.0821387875231516,-0.08785729332751176,3.5765473710890947,-5.0,5.0,32.54054054054054,0.17359720000240486,0.1875
33,0.014978588504183378,0.015502479641674862,0.0005238911374914838,0.0022758182403351205,0,2.0922437244775933,-0.04537984209369197,3.5600182960214757,-5.0,5.0,31.71171171171171,0.16219450000062352,0.1875
34,0.014978588504183378,0.015502479641674862,0.0005238911374914838,0.0,1,2.109122132175756,-0.029524266732689146,3.5493682994685574,-5.0,5.0,31.0990990990991,0.17491400000290014,0.203125
35,0.014968612189418935,0.016324208823613583,0.0013555966341946488,9.976314764443758e-06,0,2.112271335258912,-0.0017072249823226046,3.548131120214798,-5.0,5.0,30.54054054054054,0.16564629999629688,0.203125
36,0.014963864847087754,0.015483676587784743,0.0005198117406969884,4.747342331180154e-06,0,2.123104663081945,0.04714663632550572,3.55380268500767,-5.0,5.0,31.09009009009009,0.19764229999418603,0.21875
37,0.014963864847087754,0.015483676587784743,0.0005198117406969884,0.0,1,2.0828597786989307,0.10329122010786061,3.5376346861957986,-5.0,5.0,30.62162162162162,0.16503360000206158,0.140625
38,0.014963864847087754,0.015483676587784743,0.0005198117406969884,0.0,2,2.065699293255526,0.1087016570393657,3.5385720615205254,-5.0,5.0,30.810810810810814,0.15823829999862937,0.140625
39,0.014192486830210804,0.01733217587103667,0.003139689040825868,0.0007713780168769509,0,2.0242470493607274,0.10378737559483521,3.5282988099188275,-5.0,5.0,30.945945945945947,0.15746869999566115,0.15625
40,0.013761670978391963,0.014274560295988213,0.0005128893175962504,0.0004308158518188405,0,1.8708977307510335,0.03258506085230418,3.5284031424659785,-5.0,5.0,31.270270270270274,0.16065010000602342,0.203125
41,0.013476775063894754,0.013809725723745385,0.000332950659850631,0.00028489591449720915,0,1.9182165773553217,0.025102047759229033,3.50475829536415,-5.0,5.0,30.62162162162162,0.16414419999637175,0.1875
42,0.013476775063894754,0.013809725723745385,0.000332950659850631,0.0,1,1.8886684639375781,0.012209389343583838,3.5222534599365694,-5.0,5.0,31.71171171171171,0.16482359999645269,0.1875
43,0.012312860890442359,0.014040471276562824,0.0017276103861204647,0.001163914173452395,0,1.9018986258537822,0.02014787944637915,3.538245325140356,-5.0,5.0,32.32432432432432,0.17039280000608414,0.1875
44,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.001547647601991239,0,1.930827090148588,0.036266625869223225,3.5215456189319303,-5.0,5.0,31.603603603603602,0.1639775000003283,0.171875
45,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,1,1.911129052846375,0.015111893928920426,3.5325876574003607,-5.0,5.0,32.67567567567568,0.18005209999682847,0.203125
46,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,2,1.9318303030999777,-0.026949425544230396,3.53490008861038,-5.0,5.0,33.18018018018018,0.1607838999989326,0.171875
47,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,3,1.833584776255221,-0.09078421431852655,3.51751235935605,-5.0,5.0,33.054054054054056,0.16673460000311024,0.171875
48,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,4,1.7729406644215906,-0.1574261357063653,3.5275660949530554,-5.0,5.0,33.666666666666664,0.1651951999956509,0.171875
49,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,5,1.7225995480722147,-0.187623001548343,3.5405859148165333,-5.0,5.0,34.14414414414414,0.1648503999967943,0.171875
50,0.01076521328845112,0.012502908541605545,0.0017376952531544254,0.0,6,1.7725460745893227,-0.2414515503160482,3.5415204112948504,-5.0,5.0,34.89189189189189,0.16919400000188034,0.1875
