epoch,online_mse_mean,train_mse_after_epoch,validation_mse,train_validation_gap,wall_seconds,cpu_seconds,hidden_saturation_percentage,layer_1_weight_abs_mean,layer_1_weight_std,layer_1_delta_abs_mean,layer_1_delta_abs_max,layer_2_weight_abs_mean,layer_2_weight_std,layer_2_delta_abs_mean,layer_2_delta_abs_max
11,0.15114906485353385,0.1508856572857145,0.1558299470006936,0.004944289714979122,3.500006944999768,7.271085830998345,23.816332497911446,0.5059798255898396,0.5890427961609339,3.283662246884487e-05,0.0032570447338369415,0.5206461313839293,0.5727810834957805,0.00027362294892201296,0.0014814814712710486
12,0.15013976007322472,0.14438149732103914,0.1482679673929482,0.003886470071909065,3.232413161000295,6.929458753002109,23.768504594820385,0.5066505020547313,0.5901577924766872,3.292402135086111e-05,0.003315227745162263,0.5221024324472034,0.574628400401195,0.0002702424894210641,0.0014814814737985622
13,0.14919586683274583,0.15268636869004942,0.1563763562648522,0.0036899875748027666,3.1346821440001804,6.794296905998635,23.64124895572264,0.5073095298202226,0.5912331148194497,3.295108135857532e-05,0.0035455469562809213,0.5238660835751285,0.5774736007171949,0.00026598184842300913,0.0014814814777023403
14,0.14793150550710504,0.1531909051260309,0.15944216550781712,0.006251260381786222,3.2659438099999534,7.077704503000859,23.562280701754386,0.5080073885670539,0.5924006020638594,3.31101496391843e-05,0.0036393793681479283,0.5269612211429813,0.5831094599116446,0.00026207096488077607,0.0014814814807894146
15,0.14777535924534793,0.14203567110461762,0.1466937550823998,0.004658083977782168,3.11434148599983,6.860778662001394,23.30893901420217,0.5085841413157975,0.5933194137084019,3.386387071488938e-05,0.0037601991222483144,0.5295175525972782,0.5879606206977583,0.0002610248827056507,0.0014814814805990024
16,0.14674164643330334,0.14172710550431075,0.14549240080994405,0.0037652953056332983,3.174244990999796,6.927242145000491,23.05043859649123,0.5091589142998819,0.5942462720538272,3.448773972315323e-05,0.003796261644237482,0.5315867076713147,0.5921865396278523,0.00025805935414907307,0.0014814814814026178
17,0.1455367518222648,0.15567826478229013,0.15883660441980157,0.0031583396375114425,3.2346289880006225,6.949010421001731,22.83517126148705,0.5097026923862229,0.5951531888572296,3.481582810953986e-05,0.003957379542455454,0.5342128766370131,0.5967345736023426,0.00025422404217946413,0.0014814814709274641
18,0.14589357391864732,0.143983594724899,0.14840505241319135,0.004421457688292357,3.251833344998886,7.0492957060014305,22.58936925647452,0.5102883701179078,0.5961698611974691,3.535764004762015e-05,0.003890346696915655,0.5362460838892694,0.5999493313998778,0.00025447696943527165,0.0014814813722427206
19,0.14491990837731028,0.140727238809215,0.14427454884834115,0.0035473100391261447,3.313591144999009,7.075708716001827,22.303989139515455,0.5107958109607836,0.5970139124840598,3.57019733857226e-05,0.004064064322157589,0.538813877524699,0.6045014535562007,0.00025161493704882183,0.001481480431123502
20,0.14473544565588148,0.13874310290942474,0.14219153444443322,0.0034484315350084838,3.4010513550001633,7.119972247000987,21.751086048454468,0.5112645416675117,0.5978192981002685,3.654079361894787e-05,0.004225018746763234,0.5419922521398727,0.6112081157732808,0.00025098968520522624,0.0014814814142292878
21,0.14426270292281326,0.14380582639301637,0.1491844367786756,0.005378610385659233,3.4025612030000048,7.148035043999698,21.29872598162072,0.5117341442229751,0.5986512477671996,3.732961913053794e-05,0.004285259343925344,0.5440764820785937,0.6152791639417649,0.0002494002079369243,0.0014814814320558934
